Location, Number,Date On,Date Off,Time (hr.),mg/m3 *,ppb *,µg NO2
,,,,,,,
"Prishtine 1: Intereminex, tasligje",659580,11/01/2016,03/02/2016,549.42,56.53,29.51,2.26
"Pr 2: Rruga B, Mati 1",659578,11/01/2016,03/02/2016,547.75,32.05,16.73,1.28
Pr 3: A.U.K Entrance,659579,11/01/2016,03/02/2016,548.97,30.05,15.68,1.20
Pr 4: Taukbahce,659561,11/01/2016,03/02/2016,549.62,26.95,14.07,1.08
"Pr 5: Shkella Fillorc ""ismajl Qevnoji""",659558,08/01/2016,28/01/2016,486.38,50.57,26.39,1.79
"Pr 6: Bregu idiehit, Medical Center",659560,08/01/2016,28/01/2016,486.58,37.49,19.57,1.33
"Pr 7: Aktash, Galenne Artere",659557,08/01/2016,28/01/2016,485.87,71.41,37.27,2.52
"Pr 8: Rruga B, Mati I",659559,08/01/2016,28/01/2016,480.23,48.98,25.56,1.71
Pr 10: Pr.Hyzri Talla 4/3/1,637537,29/12/2015,22/02/2016,1338.20,22.76,11.88,2.21
Pr 11: Rr.Rexhep Luci,659597,09/01/2016,22/02/2016,1061.58,0.14,0.07,0.01
Pr 11: Rr.Rexhep Luci,637534,09/01/2016,22/02/2016,1061.58,25.72,13.42,1.98
Pr 12: Sofalia I,637536,22/01/2016,17/02/2016,622.78,23.44,12.23,1.06
Pr 12: Sofalia I,659598,22/01/2016,17/02/2016,622.78,49.55,25.86,2.24
Pr 13: Rrethi Dragadanit,637535,22/01/2016,17/02/2016,614.65,52.16,27.23,2.33
Pr 13: Rrethi Dragadanit,659596,22/01/2016,17/02/2016,614.65,32.47,16.94,1.45
Pr 15: Stacioni I Autobuseve,659562,09/01/2016,31/01/2016,523.58,51.42,26.84,1.96
Pr 16: Statute Bill Clinton,659566,09/01/2016,31/01/2016,520.48,57.06,29.78,2.16
"Pr 17: Semafor ""Hotel Grand""",659567 **,08/01/2016,31/01/2016,551.00,100.15,52.27,4.01
Pr 18: Menza e studentere,659564,08/01/2016,29/01/2016,501.55,58.67,30.62,2.14
Banja e Pejesi: Ardit Podrimaj House,659563,11/01/2016,29/01/2016,431.72,8.94,4.67,0.28
Drenas 1: Damanek,659584,17/01/2016,07/02/2016,509.55,8.51,4.44,0.32
Drenas 2: Qikatore e rjeter,659587,17/01/2016,07/02/2016,506.70,15.30,7.99,0.56
"Drenas 3: Sh.F ""Hialil Bajraktari""",659586,17/01/2016,07/02/2016,505.67,19.53,10.19,0.72
"Drenas 4: Gjiranazi ""Gj.K.Stendebeu""",659585,17/01/2016,07/02/2016,505.73,27.16,14.18,1.00
Drenas 5:,659583,17/01/2016,07/02/2016,505.30,22.04,11.50,0.81
Lipjan 1,659569,10/01/2016,02/02/2016,552.90,27.41,14.31,1.10
Lipjan 2,659576,10/01/2016,02/02/2016,552.75,26.16,13.65,1.05
Lipjan 3,659568,10/01/2016,02/02/2016,552.57,27.72,14.47,1.11
Plementin 2,659588,10/01/2016,03/02/2016,575.75,16.25,8.48,0.68
Plementin 4,659571,10/01/2016,03/02/2016,575.92,3.69,1.93,0.15
Obilig 1,659572,10/01/2016,03/02/2016,576.42,29.53,15.41,1.24
Kacaniku 1,659565,10/01/2016,04/02/2016,602.83,51.52,26.89,2.26
Kacaniku 2,659555,10/01/2016,04/02/2016,605.17,24.81,12.95,1.09
Kacaniku 4,659553,10/01/2016,04/02/2016,604.42,35.47,18.51,1.56
Kacaniku 5,659552,10/01/2016,04/02/2016,604.33,19.31,10.08,0.85
Gjilan 1,659577,10/01/2016,31/01/2016,513.45,43.10,22.49,1.61
Gjilan 2,659551,10/01/2016,31/01/2016,512.87,67.73,35.35,2.52
Gjilan 3,659575,10/01/2016,31/01/2016,512.33,49.80,25.99,1.85
Gjilan 4,659574,10/01/2016,31/01/2016,509.57,43.07,22.48,1.60
Gjakove 1,637501,13/01/2016,03/02/2016,502.33,26.94,14.06,0.98
Gjakove 2,637502,13/01/2016,03/02/2016,502.37,34.95,18.24,1.28
Mitrovice 1,659581,01/02/2016,25/02/2016,575.00,36.45,19.03,1.52
Mitrovice 2,659599,04/02/2016,26/02/2016,526.28,4.22,2.21,0.16
Mitrovice 3,659582,05/02/2016,26/02/2016,505.42,19.09,9.96,0.70
Mitrovice 4,659600,05/02/2016,26/02/2016,503.25,23.41,12.22,0.86
