Location,Number,Date On,Date Off,Time (hr.),mg/m3 *,ppb *,µg NO2
,,,,,,,
Inter Eminex,704183,22/04/2016,20/05/2016,671.80,42.96,22.42,2.10
Rruga B. Mati 1,704184,22/04/2016,20/05/2016,672.05,17.99,9.39,0.88
AUK-hyrje,704181,22/04/2016,20/05/2016,671.88,16.65,8.69,0.81
"Shkolla ""Ismail Qemali""",704177,18/04/2016,09/05/2016,513.43,30.62,15.98,1.14
Bregu I Dellit Medical Center,704179,18/04/2016,09/05/2016,513.43,23.42,12.22,0.87
"Aktash, Galeria e Antene",704180,18/04/2016,09/05/2016,510.25,70.23,36.66,2.60
Rruga B. Mati 1 Circle,704178,18/04/2016,09/05/2016,513.18,47.41,24.75,1.77
"Rnethi Termokos, Veternik",704172,14/04/2016,05/05/2016,500.00,55.74,29.09,2.03
Bill Clinton statue,704173,14/04/2016,06/05/2016,524.67,39.62,20.68,1.51
Stacioni I autobuseve,704174,14/04/2016,06/05/2016,525.00,38.35,20.02,1.46
Menza e studenteve,704171,14/04/2016,05/05/2016,504.08,39.40,20.56,1.44
Shtepia e Ardit Podrimaj,704176,20/04/2016,10/05/2016,466.17,6.80,3.55,0.23
Damanek,704175,01/05/2016,22/05/2016,503.02,7.67,4.00,0.28
Qikatove e vjeter,704187,01/05/2016,22/05/2016,500.80,7.49,3.91,0.27
"Gjimnazi ""Gjorgj Kastrioti Skenderbeu""",704200,01/05/2016,22/05/2016,503.03,11.46,5.98,0.42
"Shkolla ""Halil Bajraktevie""",704186,01/05/2016,22/05/2016,502.07,7.48,3.91,0.27
"Sheshi ""Fehmi Lladrovci""",703984,01/05/2016,22/05/2016,502.10,11.81,6.16,0.43
Afer shepise se shendetit,707027,27/04/2016,04/06/2016,903.52,24.65,12.87,1.62
Rruga Srbian,707030,20/04/2016,17/05/2016,642.42,2.18,1.14,0.10
Train Station Plemetina Park,704189,20/04/2016,17/05/2016,642.75,42.09,21.97,1.97
"Rruga ""Jovicka""",707026,20/04/2016,17/05/2016,642.77,6.88,3.59,0.32
Brastvo Jedinstvo,704188,21/04/2016,17/05/2016,623.08,7.39,3.86,0.33
Obilig Center,704185,20/04/2016,17/05/2016,642.67,16.48,8.60,0.77
"Shkolla ""Emin Duraku""",707035,07/05/2016,29/05/2016,532.58,5.75,3.00,0.22
Rr. Ismail Qemali Te Burimi,707032,07/05/2016,29/05/2016,533.33,8.47,4.42,0.33
Kaganik Bridge UCK-OVL,707034,07/05/2016,29/05/2016,533.25,27.56,14.39,1.07
Rruga V. Li. Gaka,707033,07/05/2016,29/05/2016,533.58,8.10,4.23,0.31
"City Center Rr. ""Abdullah Tahiri""",707028,30/04/2016,30/05/2016,718.37,53.46,27.90,2.79
Lagjja Arberia,707029,30/04/2016,30/05/2016,718.62,6.77,3.53,0.35
"Rr. ""Isuf Kuki""",707031,30/04/2016,30/05/2016,718.35,37.10,19.36,1.94
